-,-,-
160, -25, 968
162, -20, 954
162, -20, 954
163, -49, 944
145, -34, 987
139, -55, 971
119, -120, 952
158, -98, 981
158, -98, 981
238, -35, 879
185, -78, 929
146, -91, 947
184, -38, 917
169, -47, 916
169, -47, 916
151, -52, 941
178, -7, 951
227, 24, 906
225, 2, 871
225, 2, 871
124, -51, 912
140, -29, 970
168, -17, 929
216, 36, 911
216, 36, 911
221, 56, 896
202, 32, 884
177, 42, 858
113, 40, 918
113, 40, 918
112, 38, 906
119, 17, 883
102, 41, 926
102, 41, 926
166, 61, 914
140, 82, 902
94, 64, 908
98, 70, 907
98, 70, 907
34, 94, 1034
42, 113, 1026
-8, 103, 1086
-8, 103, 1086
-19, 134, 1106
-101, 97, 1140
-185, -13, 1215
-161, 0, 1183
-169, 38, 1159
-291, -39, 1272
-349, -98, 1266
-369, -120, 1228
-336, -139, 1159
-326, -151, 1160
-328, -162, 1129
-329, -139, 1107
-272, -62, 1051
-213, -47, 985
-213, -47, 985
-171, -43, 956
-136, 52, 945
-106, 152, 919
-106, 181, 975
-101, 140, 979
-9, 174, 994
2, 179, 1031
2, 179, 1031
-21, 176, 1061
-55, 201, 1095
-49, 204, 1096
-8, 194, 1024
30, 173, 975
30, 173, 975
22, 124, 946
-2, 119, 985
-10, 135, 991
-39, 80, 978
-39, 80, 978
0, 75, 962
44, 102, 937
-12, 88, 993
-12, 88, 993
-34, 82, 1005
-12, 72, 994
37, 87, 941
37, 87, 941
42, 74, 966
18, 74, 1000
24, 98, 999
24, 98, 999
31, 95, 983
38, 96, 1001
128, 136, 971
190, 168, 928
190, 168, 928
84, 161, 1033
92, 196, 1079
87, 183, 1083
135, 170, 1067
153, 200, 1059
153, 200, 1059
83, 191, 1156
67, 169, 1131
105, 164, 1109
121, 170, 1105
118, 162, 1121
105, 194, 1134
137, 207, 1115
137, 207, 1115
99, 125, 1137
74, 109, 1146
101, 91, 1131
109, 88, 1088
113, 58, 1066
86, 57, 1073
86, 57, 1073
92, 34, 1074
135, -27, 963
139, -44, 920
171, 40, 934
171, 40, 934
95, 4, 962
28, -76, 982
85, -83, 915
85, -83, 915
117, -98, 873
98, -74, 924
117, -62, 942
107, -119, 892
107, -119, 892
119, -130, 882
141, -79, 921
127, -94, 877
81, -126, 966
58, -165, 1007
72, -130, 997
91, -124, 932
91, -124, 932
62, -169, 923
-11, -208, 953
2, -162, 981
53, -181, 863
37, -228, 861
37, -228, 861
43, -239, 836
33, -231, 860
-16, -225, 876
-,-,-
131, -48, 1025
135, -47, 1006
109, -112, 993
119, -137, 993
124, -165, 1019
124, -165, 1019
129, -130, 1003
207, -87, 939
193, -92, 899
140, -97, 972
150, -77, 959
186, -68, 899
245, -38, 843
245, -38, 843
258, -4, 827
193, 5, 886
145, 5, 940
145, 5, 940
191, -1, 901
197, -40, 825
147, -42, 859
150, -40, 859
150, -40, 859
93, -60, 890
146, -31, 859
137, -9, 853
43, -46, 928
43, -46, 928
17, -50, 990
41, 23, 1025
1, 2, 1043
1, 2, 1043
-17, 15, 1051
-19, 62, 1067
-79, 59, 1082
-156, -17, 1138
-127, -42, 1158
-79, 11, 1096
-79, 11, 1096
-103, 46, 1102
-137, 11, 1106
-140, 12, 1117
-102, 15, 1051
-132, -2, 1081
-138, 7, 1114
-137, 2, 1135
-137, 2, 1135
-154, -1, 1094
-214, -32, 1137
-246, -52, 1164
